Sampling Event Number,Survey Date,Analysis Date,Name of Analyser,Time Zone,Aquafluor Sample ID,Value,Channel,GEM Sample ID,Comment,Quality Flag
,,,,,0,,TRB,Blank,,
,,,,,1,,IVCH,Blank,,
,,,,,2,,TRB,Blank,,
,,,,,3,,IVCH,Blank,,
,,,,,4,,IVCH,Solid Standard,,
,,,,,5,,,,,
,,,,,6,,,,,
,,,,,7,,,,,
,,,,,8,,,,,
,,,,,9,,,,,
,,,,,10,,,,,
,,,,,11,,,,,
,,,,,12,,,,,
,,,,,13,,,,,
,,,,,14,,,,,
,,,,,15,,,,,
,,,,,16,,,,,
,,,,,17,,,,,
,,,,,18,,,,,
,,,,,19,,,,,
,,,,,20,,,,,
,,,,,21,,,,,
,,,,,22,,,,,
,,,,,23,,,,,
,,,,,24,,,,,
,,,,,25,,,,,
,,,,,26,,,,,
,,,,,27,,,,,
,,,,,28,,,,,
,,,,,29,,,,,
,,,,,30,,,,,
