7450-880413
OS REV: 1.05 Sensor Cal: 1725657221
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1726501980,+3.41,+19.747, +9.304,+0.894
1726502040,+3.41,+19.345, +9.335,+0.894
1726502100,+3.41,+18.967, +9.434,+0.893
1726502160,+3.41,+18.589,+10.294,+0.890
1726502220,+3.42,+16.824,+12.522,+0.890
1726502280,+3.42,+16.032,+13.022,+0.891
1726502340,+3.42,+15.596,+13.183,+0.890
1726502400,+3.42,+15.330,+13.383,+0.892
1726502460,+3.42,+15.116,+13.416,+0.892
1726502520,+3.42,+14.995,+14.816,+0.893
1726502580,+3.43,+14.806,+14.014,+0.893
1726502640,+3.43,+14.797,+14.445,+0.894
1726502700,+3.43,+14.797,+14.547,+0.894
1726502760,+3.43,+14.780,+14.576,+0.895
1726502820,+3.43,+14.763,+14.691,+0.895
1726502880,+3.42,+14.252,+12.425,+0.892
1726502940,+3.43,+13.862,+11.474,+0.892
1726503000,+3.43,+13.635,+11.137,+0.893
1726503060,+3.43,+13.487,+10.848,+0.894
1726503120,+3.43,+13.355,+10.661,+0.894
1726503180,+3.43,+13.355,+11.144,+0.895
1726503240,+3.43,+13.425,+11.776,+0.896
1726503300,+3.43,+13.460,+12.049,+0.896
1726503360,+3.43,+13.644,+10.464,+0.895
1726503420,+3.43,+14.226,+10.484,+0.898
1726503480,+3.43,+15.279,+10.101,+0.898
1726503540,+3.43,+15.090,+10.177,+0.897
1726503600,+3.43,+15.081,+10.214,+0.898
1726503660,+3.43,+15.167,+10.464,+0.897
1726503720,+3.43,+14.918,+14.440,+0.899
1726503780,+3.43,+14.745,+14.554,+0.898
1726503840,+3.43,+14.668,+14.874,+0.898
1726503900,+3.43,+14.642,+15.129,+0.899
1726503960,+3.43,+14.581,+15.193,+0.900
1726504020,+3.43,+14.512,+14.494,+0.898
1726504080,+3.43,+14.174,+12.692,+0.896
1726504140,+3.43,+13.992,+12.683,+0.897
1726504200,+3.43,+13.853,+12.741,+0.897
1726504260,+3.43,+13.827,+12.792,+0.897
1726504320,+3.44,+13.801,+12.878,+0.897
1726504380,+3.44,+13.792,+13.020,+0.898
1726504440,+3.43,+14.088,+10.418,+0.898
1726504500,+3.43,+14.495,+10.281,+0.898
1726504560,+3.43,+14.426,+13.533,+0.898
1726504620,+3.43,+14.244,+13.327,+0.897
1726504680,+3.43,+14.122,+13.372,+0.898
1726504740,+3.44,+14.035,+13.138,+0.897
1726504800,+3.44,+13.914,+12.924,+0.897
1726504860,+3.44,+13.870,+13.199,+0.898
1726504920,+3.43,+14.296,+10.380,+0.897
1726504980,+3.43,+14.529,+10.396,+0.898
1726505040,+3.44,+14.797,+10.224,+0.897
