Sampling_Event_Number,Survey_Date,Analysis_Date,Analysis_Time,Name_of_Analyser,Time_Zone,AquaFluor_Sample_ID,Value,Channel,GEM_Sample_ID,Comment,Quality_Flag,,,,,,,,,,,,,,,,,,,,
,,2025-01-15,13:46,Drew,PST,0,0.345, IVCH,Blank_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
,,2025-01-15,13:46,Drew,PST,1,0,  TRB,Blank_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
,,2025-01-15,13:46,Drew,PST,2,0, IVCH,Blank_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
,,2025-01-15,13:46,Drew,PST,3,0,  TRB,Blank_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
,,2025-01-15,13:46,Drew,PST,4,66.5, IVCH,Solid_Standard_IVCH,,1,,,,,,,,,,,,,,,,,,,,
,,2025-01-15,13:46,Drew,PST,5,99.92,  TRB,NTU_100_TRB,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,2025-01-15,13:46,Drew,PST,6,6.535, IVCH,2_14_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,2025-01-15,13:46,Drew,PST,7,0,  TRB,2_14_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,2025-01-15,13:46,Drew,PST,8,5.602, IVCH,2_14_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,2025-01-15,13:46,Drew,PST,9,0,  TRB,2_14_TRB_2,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,2025-01-15,13:46,Drew,PST,10,5.437, IVCH,2_14_IVCH_3,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,2025-01-15,13:46,Drew,PST,11,0.647,  TRB,2_14_TRB_3,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,2025-01-15,13:46,Drew,PST,12,7.965, IVCH,2_15_IVCH_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,2025-01-15,13:46,Drew,PST,13,0,  TRB,2_15_TRB_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,2025-01-15,13:46,Drew,PST,14,6.386, IVCH,2_15_IVCH_2,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,2025-01-15,13:46,Drew,PST,15,0,  TRB,2_15_TRB_2,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,2025-01-15,13:46,Drew,PST,16,4.683, IVCH,2_15_IVCH_3,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,2025-01-15,13:46,Drew,PST,17,0,  TRB,2_15_IVCH_3,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
