sampling_event_number,survey_date,instrument_time_utc,value,variable,unit_of_measurement,gem_sample_id,comment,quality_flag,,,,,,,,,,,,,,,,,,,,
2_13,2025-01-15,17:25,7,Temperature Diver,deg C,2_13_TDIV_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,17:43,6.937,Temperature Diver,deg C,2_14_TDIV_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,17:52,7.983,Temperature Diver,deg C,2_15_TDIV_1,,1,,,,,,,,,,,,,,,,,,,,
2_13,2025-01-15,17:25,25.292,Conductivity,mS/cm,2_13_C_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,17:43,28.032,Conductivity,mS/cm,2_14_C_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,17:52,30.56,Conductivity,mS/cm,2_15_C_1,,1,,,,,,,,,,,,,,,,,,,,
2_13,2025-01-15,17:25,0.407,Hydrostatic Pressure,dbar,2_13_P_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,17:43,0.469,Hydrostatic Pressure,dbar,2_14_P_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,17:52,5.662,Hydrostatic Pressure,dbar,2_15_P_1,,1,,,,,,,,,,,,,,,,,,,,
2_13,2025-01-15,17:25,7.234,Temperature MiniDOT,deg C,2_13_TDOT_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,17:43,6.946,Temperature MiniDOT,deg C,2_14_TDOT_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,17:52,7.939,Temperature MiniDOT,deg C,2_15_TDOT_1,,1,,,,,,,,,,,,,,,,,,,,
2_13,2025-01-15,17:25,10.767,DO uncorrected,mg/L,2_13_DO_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,17:43,10.877,DO uncorrected,mg/L,2_14_DO_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,17:52,9.938,DO uncorrected,mg/L,2_15_DO_1,,1,,,,,,,,,,,,,,,,,,,,
2_13,2025-01-15,17:25,0.975,Q value,unitless,2_13_Q_1,,1,,,,,,,,,,,,,,,,,,,,
2_14,2025-01-15,17:43,0.976,Q value,unitless,2_14_Q_1,,1,,,,,,,,,,,,,,,,,,,,
2_15,2025-01-15,17:52,0.978,Q value,unitless,2_15_Q_1,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
