7450-619573
OS REV: 1.05 Sensor Cal: 1736816940
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1736960880,+3.47,+10.941,+11.156,+0.976
1736960940,+3.47,+10.968,+11.154,+0.976
1736961000,+3.47,+10.815,+11.191,+0.976
1736961060,+3.47,+10.634,+11.271,+0.977
1736961120,+3.47,+10.388,+11.323,+0.977
1736961180,+3.47,+10.160,+11.355,+0.977
1736961240,+3.47, +9.886,+11.441,+0.976
1736961300,+3.47, +9.583,+11.546,+0.976
1736961360,+3.47, +9.296,+11.620,+0.977
1736961420,+3.47, +8.841,+10.559,+0.973
1736961480,+3.48, +8.128,+10.492,+0.973
1736961540,+3.47, +7.778,+10.572,+0.973
1736961600,+3.47, +7.569,+10.646,+0.974
1736961660,+3.47, +7.445,+10.695,+0.974
1736961720,+3.47, +7.359,+10.715,+0.974
1736961780,+3.47, +7.292,+10.727,+0.974
1736961840,+3.47, +7.282,+10.751,+0.975
1736961900,+3.47, +7.234,+10.767,+0.975
1736961960,+3.47, +7.215,+10.767,+0.975
1736962020,+3.47, +7.167,+12.141,+0.976
1736962080,+3.47, +7.071,+12.223,+0.976
1736962140,+3.47, +7.042,+12.255,+0.976
1736962200,+3.47, +6.994,+12.232,+0.975
1736962260,+3.48, +6.888,+12.268,+0.976
1736962320,+3.48, +6.821,+12.297,+0.975
1736962380,+3.48, +6.772,+12.323,+0.976
1736962440,+3.48, +6.685,+12.361,+0.976
1736962500,+3.48, +6.646,+12.370,+0.976
1736962560,+3.48, +6.656,+12.371,+0.976
1736962620,+3.48, +6.646,+12.361,+0.975
1736962680,+3.47, +6.830,+11.074,+0.976
1736962740,+3.47, +6.927,+10.893,+0.976
1736962800,+3.47, +6.936,+10.879,+0.976
1736962860,+3.47, +6.975,+10.858,+0.976
1736962920,+3.47, +6.975,+10.854,+0.976
1736962980,+3.47, +6.946,+10.877,+0.976
1736963040,+3.47, +6.984,+10.770,+0.976
1736963100,+3.47, +7.023,+10.909,+0.978
1736963160,+3.47, +7.359,+10.372,+0.978
1736963220,+3.47, +7.616,+10.101,+0.978
1736963280,+3.47, +7.749,+10.007,+0.978
1736963340,+3.47, +7.835, +9.952,+0.978
1736963400,+3.47, +7.901, +9.948,+0.978
1736963460,+3.47, +7.920, +9.940,+0.978
1736963520,+3.47, +7.939, +9.938,+0.978
1736963580,+3.47, +7.958, +9.928,+0.978
1736963640,+3.47, +7.901,+11.850,+0.977
1736963700,+3.47, +7.721,+12.033,+0.977
1736963760,+3.47, +7.645,+12.059,+0.977
1736963820,+3.47, +7.588,+12.092,+0.977
1736963880,+3.47, +7.588,+12.092,+0.978
1736963940,+3.47, +7.616,+12.078,+0.978
1736964000,+3.47, +7.597,+12.085,+0.977
